Materials,Stock,Duplicates,,
HAWA-20_10,0000000,1,,
HAWA-10_9,0000000,1,,
HAWA-10_12,0000000,1,,
HAWA-10_10,0000000,1,,
HAWA-05_12,0000000,1,,
HALB-30_9,0000000,1,,
HALB-30_5,0000000,1,,
HALB-30_12,0000000,1,,
HALB-30_10,0000000,1,,
HALB-20_9,0000000,1,,
HALB-20_5,0000000,1,,
HALB-20_12,0000000,1,,
HALB-20_10,0000000,1,,
HALB-10_9,0000000,1,,
HALB-10_5,0000000,1,,
HALB-10_12,0000000,1,,
HALB-10_10,0000000,1,,
HALB-05_12,0000000,1,,
HA00540050,0000015,1,,
HA00540043,0000124,1,,
HA00540042,0000005,1,,
HA00540036,0000057,1,,
HA00540029,0000020,1,,
HA00540028,0000000,1,,
HA00540026,0000042,1,,
HA00540025,0000078,1,,
HA00540023,0000127,1,,
HA00540018,0000009,1,,
HA00540017,0000017,1,,
HA00540013,0000408,1,,
HA00540012,0000112,1,,
HA00540011,0000150,1,,
HA00540007,0000000,1,,
HA00540006,0000000,1,,
HA00540002,0000034,1,,
HA00540001,0000010,1,,
HA00410004,0000043,1,,
HA00230002,0000069,1,,
HA00230001,0000068,1,,
HA00200080,0000052,1,,
HA00200079,0000018,1,,
HA00200078,0000000,1,,
HA00200074,0000009,1,,
HA00200073,0000017,1,,
HA00200062,0000004,1,,
HA00200061,0000005,1,,
HA00200054,0000005,1,,
HA00200053,0000022,1,,
HA00200052,0000007,1,,
HA00200051,0000012,1,,
HA00200047,0000003,1,,
HA00200046,0000000,1,,
HA00200045,0000000,1,,
HA00200044,0000000,1,,
HA00200043,0000000,1,,
HA00200039,0000003,1,,
HA00200038,0000011,1,,
HA00200037,0000002,1,,
HA00200036,0000018,1,,
HA00200035,0000016,1,,
HA00200014,0000008,1,,
HA00200013,0000000,1,,
HA00200011,0000016,1,,
HA00200010,0000030,1,,
HA00050011,0000000,1,,
HA00050010,0000000,1,,
HA00040011,0000000,1,,
H413000116,0000104,1,,
H413000114,0000000,1,,
H413000113,0000000,1,,
H413000112,0000000,1,,
